Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.1,0.0,0.0,0,0,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,1,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,2,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,3,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,4,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,5,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,6,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,7,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,8,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,9,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,10,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,11,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,12,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,13,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,14,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,15,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,16,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,17,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,18,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,19,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,20,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,21,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,22,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,23,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,24,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,25,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,26,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,27,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,28,"(3, 3)",1.0,Headings.E,False,False
0.1,0.0,0.0,0,29,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,30,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,31,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,32,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,33,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,34,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,35,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,36,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,37,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,38,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,39,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,40,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,41,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,42,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,43,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,44,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,45,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,46,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,47,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,48,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,49,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,50,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,51,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,52,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,53,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,54,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,55,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,56,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,57,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,58,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,59,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,60,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,61,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,62,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,63,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,64,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,65,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,66,"(3, 3)",1.0,Headings.E,True,False
